name,popularity_rev
にじさんじ公式,19
にじさんじ公式切り抜き,4
ChroNoiR,9
JuvveL,0
さくゆいちゃんねる,1
ROF-MAO,7
Rain,Drops,1
月ノ美兎,16
勇気ちひろ,12
える,5
樋口楓,10
静凛,6
渋谷ハジメ,2
鈴谷アキ,2
モイラ,2
鈴鹿詩子,10
宇志海いちご,3
家長むぎ,3
夕陽リリ,4
物述有栖,4
文野環,6
伏見ガク,4
ギルザレンⅢ世,2
剣持刀也,12
森中花咲,5
叶,19
赤羽葉子,3
笹木咲,14
闇夜乃モルル,1
本間ひまわり,13
魔界ノりりむ,5
葛葉,24
雪汝,1
椎名唯華,10
ドーラ,6
海夜叉神,0
名伽尾アズマ,0
出雲霞,2
轟京子,2
シスター・クレア,8
花畑チャイカ,6
社築,12
安土桃,2
鈴木勝,4
緑仙,10
卯月コウ,4
八朔ゆず,0
神田笑一,4
鳴門こがね,0
飛鳥ひな,2
春崎エアル,2
雨森小夜,3
鷹宮リオン,8
舞元啓介,7
竜胆尊,8
でびでび・でびる,9
桜凛月,4
町田ちま,9
月見しずく,0
ジョー・力一,7
遠北千南,1
成瀬鳴,2
ベルモンド・バンデラス,8
矢車りね,1
夢追翔,5
黒井しば,3
童田明治,4
久遠千歳,3
郡道美玲,8
夢月ロア,7
小野町春香,3
語部紡,1
瀬戸美夜子,2
御伽原江良,10
戌亥とこ,11
アンジュ・カトリーナ,10
リゼ・ヘルエスタ,12
三枝明那,9
愛園愛美,3
鈴原るる,11
雪城眞尋,2
エクス・アルビオ,6
レヴィ・エリファ,5
葉山舞鈴,4
ニュイ・ソシエール,7
葉加瀬冬雪,7
加賀美ハヤト,9
夜見れな,8
黛灰,10
アルス・アルマル,12
相羽ういは,6
天宮こころ,8
エリー・コニファー,3
ラトナ・プティ,7
早瀬走,3
健屋花那,8
シェリン・バーガンディ,5
フミ,3
星川サラ,15
山神カルタ,3
えま★おうがすと,4
ルイス・キャミー,3
魔使マオ,5
不破湊,10
白雪巴,7
グウェル・オス・ガール,7
ましろ,6
奈羅花,5
来栖夏芽,3
フレン・E・ルスタリオ,8
メリッサ・キンレンカ,6
イブラヒム,8
長尾景,4
弦月藤士郎,4
甲斐田晴,7
空星きらめ,2
朝日南アカネ,3
周央サンゴ,5
東堂コハク,2
北小路ヒスイ,3
西園チグサ,6
アクシア・クローネ,4
ローレン・イロアス,5
レオス・ヴィンセント,5
オリバー・エバンス,4
レイン・パターソン,5
天ヶ瀬むゆ,1
先斗寧,1
海妹四葉,1
